t	phi	omega
0.0798	1.53873	-0.782754
0.0799	1.53865	-0.783735
0.08	1.53857	-0.784715
0.0801	1.53849	-0.785696
0.0802	1.53841	-0.786676
0.0803	1.53833	-0.787657
0.0804	1.53826	-0.788637
0.0805	1.53818	-0.789618
0.0806	1.5381	-0.790598
0.0807	1.53802	-0.791579
0.0808	1.53794	-0.792559
0.0809	1.53786	-0.79354
0.081	1.53778	-0.79452
0.0811	1.5377	-0.795501
0.0812	1.53762	-0.796481
0.0813	1.53754	-0.797462
0.0814	1.53746	-0.798442
0.0815	1.53738	-0.799422
0.0816	1.5373	-0.800403
0.0817	1.53722	-0.801383
0.0818	1.53714	-0.802364
0.0819	1.53706	-0.803344
0.082	1.53698	-0.804325
0.0821	1.5369	-0.805305
0.0822	1.53682	-0.806286
0.0823	1.53674	-0.807266
0.0824	1.53666	-0.808246
0.0825	1.53658	-0.809227
0.0826	1.5365	-0.810207
0.0827	1.53641	-0.811188
0.0828	1.53633	-0.812168
0.0829	1.53625	-0.813148
0.083	1.53617	-0.814129
0.0831	1.53609	-0.815109
0.0832	1.53601	-0.81609
0.0833	1.53593	-0.81707
0.0834	1.53584	-0.818051
0.0835	1.53576	-0.819031
0.0836	1.53568	-0.820011
0.0837	1.5356	-0.820992
0.0838	1.53552	-0.821972
0.0839	1.53543	-0.822952
0.084	1.53535	-0.823933
0.0841	1.53527	-0.824913
0.0842	1.53519	-0.825894
0.0843	1.5351	-0.826874
0.0844	1.53502	-0.827854
0.0845	1.53494	-0.828835
0.0846	1.53485	-0.829815
0.0847	1.53477	-0.830795
0.0848	1.53469	-0.831776
0.0849	1.5346	-0.832756
0.085	1.53452	-0.833737
0.0851	1.53444	-0.834717
0.0852	1.53435	-0.835697
0.0853	1.53427	-0.836678
0.0854	1.53419	-0.837658
0.0855	1.5341	-0.838638
0.0856	1.53402	-0.839619
0.0857	1.53394	-0.840599
0.0858	1.53385	-0.841579
0.0859	1.53377	-0.84256
0.086	1.53368	-0.84354
0.0861	1.5336	-0.84452
0.0862	1.53351	-0.845501
0.0863	1.53343	-0.846481
0.0864	1.53334	-0.847461
0.0865	1.53326	-0.848441
0.0866	1.53317	-0.849422
0.0867	1.53309	-0.850402
0.0868	1.533	-0.851382
0.0869	1.53292	-0.852363
0.087	1.53283	-0.853343
0.0871	1.53275	-0.854323
0.0872	1.53266	-0.855304
0.0873	1.53258	-0.856284
0.0874	1.53249	-0.857264
0.0875	1.53241	-0.858244
0.0876	1.53232	-0.859225
0.0877	1.53223	-0.860205
0.0878	1.53215	-0.861185
0.0879	1.53206	-0.862165
